#{"t_start": 1744570119.2891054, "env_id": "None"}
r,l,t
-212480.94411,6045,2685.903312
-87654.393651,6468,6042.622859
-83995.50686,5716,8935.803508
3
-2201855.710129,6239,219.529082
-2395553.011025,6662,279.560233
-50165.412359,4005,355.867141
-81831.871074,5135,402.684106
-54442.20801,4142,439.57352
-89405.754658,7210,505.287173
-54702.85599,4152,542.797861
-71676.909517,4640,623.996678
-83568.894803,5298,673.65789
-88911.002966,6932,736.667739
-77100.803382,4887,781.810229
-87221.845483,5919,839.676596
-85521.436691,5536,935.386398
-67449.110392,4496,979.107065
-87765.133872,6544,1042.989263
-65152.8897,4379,1085.199924
-78191.176452,4952,1133.072208
-49215.293483,3978,1212.199485
-86460.043831,5773,1268.17472
-88934.499542,6958,1336.126402
-75206.811972,4810,1382.586817
-73525.535921,4762,1428.57454
-67570.054115,4506,1513.116253
-78998.793371,5000,1560.884567
-72084.944952,4671,1605.925797
-53976.59972,4131,1645.82746
-80212.13364,5066,1694.971907
-76781.092173,4861,1782.856914
-88928.04472,6943,1850.036123
-88955.210751,6967,1917.296912
-84659.418013,5431,1970.651892
-89100.283759,6993,2038.225091
-84373.370342,5384,2130.839794
-79045.093414,5002,2178.8907
-89872.077524,7251,2249.08121
-88912.945768,6931,2315.784941
-82390.063425,5169,2367.223331
-52995.141701,4091,2446.310556
-71948.255836,4666,2491.599233
-87701.034648,6213,2551.79955
-71247.565289,4622,2596.335169
-87700.240657,6271,2657.014672
-53881.588679,4126,2735.583356
-71423.138859,4626,2780.014149
-71694.034647,4651,2824.926108
-88913.755982,6921,2892.54538
-89129.98443,6998,2959.995425
-87299.727341,5928,3057.092985
-71785.475561,4639,3101.960834
-79979.658837,5055,3151.39174
-82806.443983,5196,3208.070483
-65207.707536,4394,3251.119529
-84424.69908,5403,3343.014668
-88912.410815,6901,3409.347297
-88200.598741,6731,3473.847516
-78468.016851,4968,3521.973908
-89349.596754,7178,3590.928345
-87700.624182,6193,3690.434434
-86485.820806,5673,3745.261247
-86468.232727,5690,3801.277537
-53181.628235,4099,3840.828942
-87728.934228,6373,3902.392835
-72488.065641,4721,3987.455619
-58588.484349,4243,4028.198452
-88207.452843,6772,4093.390974
-89340.709061,7084,4161.539169
-86474.828526,5674,4216.231926
-65143.748781,4377,4298.829139
-66059.906143,4438,4341.852111
-71720.50859,4649,4386.291852
-87090.568684,5898,4443.184091
-87454.29838,5949,4500.475343
-85360.222855,5508,4594.324368
-85089.113852,5479,4647.346769
-89338.48797,7072,4715.988793
-85181.017016,5489,4769.178364
-82213.394548,5155,4819.163124
-87711.704958,6307,4920.138999
-89298.561607,7029,4988.108517
-81038.439622,5095,5037.466219
-87416.242501,5933,5095.024343
-43004.475059,3774,5131.296091
-88095.313063,6696,5236.330096
-78864.80311,4987,5284.512511
-68668.249814,4553,5328.577242
-77453.691951,4904,5375.773643
-87724.343034,6354,5437.106558
-49056.23917,3967,5515.944584
-86989.349189,5885,5573.108024
-43337.855241,3784,5610.17198
-87751.202962,6465,5672.677304
-87761.522989,6556,5735.903558
-87722.791311,6360,5836.880575
-87751.073173,6433,5898.976903
-70310.277735,4591,5943.967898
-83023.465284,5236,5995.090551
-68720.738823,4549,6038.884955
-88096.013903,6670,6144.453331
-77714.625168,4921,6191.83177
-88940.803737,6923,6258.225686
-89552.500297,7216,6327.698826
-71069.72705,4612,6372.187437
-87579.535355,5998,6470.508589
-86408.108004,5651,6525.897941
-87750.092583,6397,6588.054051
-85176.926525,5492,6640.915672
-86459.488056,5752,6696.192251
-71330.327877,4623,6780.647505
-86459.344248,5800,6836.879515
-67161.310174,4489,6880.10536
-87827.355378,6586,6943.220693
-86190.353149,5622,6997.043224
-87761.83433,6410,7097.954762
-87618.047333,6023,7155.584354
-85133.349456,5483,7208.071981
-82771.428997,5201,7257.910616
-88155.357717,6717,7322.328251
-89339.520447,7065,7430.982166
-88916.714153,6900,7497.21863
-72980.255927,4738,7542.653378
-56536.567177,4200,7583.107875
-62735.063734,4309,7624.628778
-65096.328422,4381,7706.944242
-87609.649113,6024,7765.358548
-89888.725875,7294,7835.699383
-43670.536781,3789,7872.127501
-87763.148801,6562,7935.588562
-87730.932032,6381,8037.673746
-85260.721792,5495,8090.85954
-89403.344965,7210,8160.22964
-65980.455557,4429,8203.138694
-86549.769314,5831,8259.371034
-78584.863334,4977,8348.016568
-87699.462259,6170,8407.749686
-86206.602097,5630,8462.144882
-87758.212653,6531,8524.988678
-89340.321726,7099,8593.143147
-83399.325845,5281,8684.872929
-88925.879115,6950,8751.300887
-89228.307529,7025,8819.067236
-71791.130248,4640,8863.74391
-87758.804411,6524,8926.225362
-88060.518687,6665,9030.123408
-53198.371342,4099,9069.737877
-88208.922298,6742,9134.72951
-53936.891338,4128,9173.875397
-89200.051493,7012,9242.306917
